gene_symbol,class
OCT4,PLURIPOTENCY
NANOG,PLURIPOTENCY
SOX2,PLURIPOTENCY
MKI67,PROGENITOR
MSI1,PROGENITOR
PAX6,PROGENITOR
TBR2,PROGENITOR
NEUROD1,PROGENITOR
EMX1,PROGENITOR
COUP-TF1,PROGENITOR
FGF8,PROGENITOR
FOXG1,PROGENITOR
TIS21,PROGENITOR
NGN2,PROGENITOR
EMX2,PROGENITOR
OTX2,PROGENITOR
HES1,PROGENITOR
SOX1,PROGENITOR
FGFR1,PROGENITOR
FGFR2,PROGENITOR
FGFR3,PROGENITOR
SOX10,PROGENITOR
NGFR,PROGENITOR
B3GAT1,PROGENITOR
ZIC1,PROGENITOR
REELIN,PROGENITOR
OTX1,PROGENITOR
ROR2,PROGENITOR
GLI1,PROGENITOR
GLI3,PROGENITOR
FOXO1,PROGENITOR
SIX3,PROGENITOR
EN1,PROGENITOR
IRX1,PROGENITOR
IRX3,PROGENITOR
DCX,PAN-NEURONAL
NEUN,PAN-NEURONAL
SYNAPSIN1,PAN-NEURONAL
MAP2,PAN-NEURONAL
TUJ1,PAN-NEURONAL
NCAM1,PAN-NEURONAL
MAPT,PAN-NEURONAL
NESTIN,PAN-NEURONAL
NCAN,PAN-NEURONAL
FEZF2,DEEP_LAYER
SOX5,DEEP_LAYER
TLE4,DEEP_LAYER
FOXP2,DEEP_LAYER
DARPP32,DEEP_LAYER
SEMA3E,DEEP_LAYER
RORB,DEEP_LAYER
CTIP2,DEEP_LAYER
BHLHB5,DEEP_LAYER
TBR1,DEEP_LAYER
SYNAPTOTAGMIN9,DEEP_LAYER
NETO1,DEEP_LAYER
NETRING1,DEEP_LAYER
ER81,DEEP_LAYER
BRN2,UPPER_LAYER
BRN1,UPPER_LAYER
CUX1,UPPER_LAYER
CUX2,UPPER_LAYER
TLE1,UPPER_LAYER
LMO4,UPPER_LAYER
LIMCH1,UPPER_LAYER
INHBA,UPPER_LAYER
SVET1,UPPER_LAYER
DTX4,UPPER_LAYER
GPR6,UPPER_LAYER
SATB2,UPPER_LAYER
HSPB3,UPPER_LAYER
CAV1,UPPER_LAYER
FRMD4B,UPPER_LAYER
NNMT,UPPER_LAYER
